Equipment Category,Manufacturer Name,Model Name,Dimensions,column4
Antenna,PD,PD,2073x269x132 mm,
Antenna,CommScope,LDX-6515DS-VTM,2070x260x13,
Antenna,Huawei,ATD4516R8,1100x260x13,
RRU/RRH,Huawei,3008,485 x 380 x 170 mm,
Antenna,CommScope,LDXX6515DS-VTM,2070x550x16,
RRU/RRH,Huawei,3278,485 x 356 x 140 mm,
RRU/RRH,Huawei,3804,480x380x170,
RRU/RRH,Huawei,3908,480x380x170,
Antenna,Commscope,N45C-1XB1,2437x457x118mm,
RRU/RRH,TBD,,400 x 300 x 100mm,
Antenna,Commscope,PD,2437x457x178mm,
Antenna,Commscope,LDX6515-VTM,2073x269x132mm,
Dish,RFS,RFS    SB4-W71ANEC,1.2,
Antenna,Andrew,HBXX-6515DS-VTM,1306 x 166 x 83 mm,
RRU/RRH,PD,PD,490 x 380 x 170 mm,
Antenna,Andrew,HBX-6516,1306 x 166 x 83 mm,
Dish,PD,PD,.90 m,
Antenna,Commscope,HBX-6515DS-VTM,132 x 2070 x 269 mm,
Antenna,Andrew,HBXX-6516,1.30 x 0.30 mm,
RRU/RRH,Huawei,3952,400 x 300 x 120mm,
Dish,Nec Corporation,MDP-400MB-1B,0.60m,
Antenna,TBD,,2499x395x228mm,
RRU/RRH,Huawei,5909,400x300x150,
Antenna,Commscope,LDX6515DSVTM,2073x269x132,
Dish,Huawei,MDP-400MB-1B,0.6,
RRU/RRH,Huawei,3804,488 x 280 x 155mm,
Dish,,VHLP 2-18,0.60m,
Antenna,Commscope,LDXX6516DS-VTM,2567x549x165mm,
Antenna,Huawei,LDX6515DS-VTM,2073x269x132,
Antenna,Huawei,LXX6516DS-VTM,2567x549x165,
Dish,Commscope,VHLP2-18,0.6,
Antenna,CommScope,DBXLH-6565EC-VTM,2507x260x130,
Dish,RFS,SB4-W71ANEC,1.2,
Antenna,Huawei,ATR 4518R6V06,1999 x 349 x 166 mm,
RRU/RRH,Huawei,B07-2600,442X310X86,
Antenna,Commscope,LNX-6515DS-VTM,2073 x 269 x 132 mm,
RRU/RRH,Huawei,3936,524 x 470 x 158 mm,
Antenna,,,60 cm,
Antenna,Huawei,LDX6516DS-VTM,2574x269x132,
RRU/RRH,Huawei,5905,400x300x120,
Antenna,Huawei,ATR 4518R6V06,1999x349x166,
Antenna,Commscope,RVUPX310R-V,2522x207x351,
Antenna,HUAWEI,ATR4518R6v06,"1,999.00cm x 349.00cm x 166.00mm [787.01"" x 137.4"" x 6.54""]",
RRU/RRH,HUAWEI,3971,400x300x100mm,
Antenna,TBD,,1999x349x166mm,
RRU/RRH,Huawei,3971,400x300x100,
Dish,Huawei,A07WD09MAC,0.9,
Dish,HUAWEI,A15S12HAC,1.20m,
Antenna,Commscope,LDX-6516DS-VTM,2577mmx269mmx132mm,
Dish,Huawei,A07S12HAC,1.2 m,
Antenna,Huawei,AMB4519R4V06,2685x359x178,
Dish,Huawei,7WD06MAC-3NX,0.60 m (Derecho real 1.20m),
RRU/RRH,PD,PD,400 x 300 x 150,
Antenna,PD,PD,2574 x 269 x 132mm,
Antenna,Huawei,ATR4518R6V06,1999 x 349 x h166,
RRU/RRH,Huawei,BXX-1900,514X334X176,
RRU/RRH,Huawei,DBS3900LTE,485 x 285 x 170 mm,
Antenna,Andrew,See notes,See notes,
Dish,PD,,1.3 m,
Dish,Huawei,A7WD09MAC-3N,0.60,
RRU/RRH,TBD,,400x300x150mm,
Antenna,TBD,TBD,"1,294.00cm x 166.00cm x 305.00mm [509.45"" x 65.35"" x 12.01""]",
RRU/RRH,Huawei,DBS3900 LTE,485 x 285 x 170 mm,
Antenna,Commscope,HBXX-6516DS-VTM,1294 x 166 x 305 mm,
Antenna,Commscope,DBXLH-6565EC-VTM,2574 x 132 x 269 mm,
RRU/RRH,Ericsson,,1.31 m,
Antenna,Moyano,MY-DTBSS-0819651719,2.94 x 0.37 x 0.22 m,
RRU/RRH,Huawei,3258,400 x 300 x 100 mm,
Antenna,Huawei,RVV65D-R3,2688 x 350 x 208 mm,
Antenna,Huawei,ATD4516,2350 x 435 x 250 mm,
RRU/RRH,Huawei,5209,400 x 300 x 100 mm,
RRU/RRH,Huawei,3258,400X300X100,
RRU/RRH,Huawei,5209,400X300X100,
Antenna,HUAWEI,ADU4516R6V06,1999mmx429mmx196mm,
RRU/RRH,HUAWEI,5512,480mmx356mmx140mm,
Antenna,Andrew,HWXX6515DS1-VTM,1390x305x118 mm,
RRU/RRH,HUAWEI,3593,300 x 150 x 170 mm,
RRU/RRH,Ericsson,3953,300 x 150 x 170 mm,
RRU/RRH,PD,PD,480 x 270 x 140 mm,
RRU/RRH,Huawei,3953,300X150X170,
Antenna,Huawei,ADU4518R1V01,1311 x 323 x 89 mm,
Antenna,PD,PD,2574 x 269 x 132 mm,
Antenna,Huawei,ADU4616R6v06,1999x429x196,
Antenna,TBD,TBD,"2,090.00cm x 500.00cm x 110.00mm [822.83"" x 196.85"" x 4.33""]",
Antenna,Andrew,LDX-6515DS-VTM,2577x269x132 mm,
Antenna,Andrew,LBX-4517DS-VTM,2013x390x233 mm,
RRU/RRH,TBD,TBD,400x300x150mm,
RRU/RRH,PD,,400mmx300mmx150mm,
Antenna,PD,PD,2940mmx370mmx220mm,
RRU/RRH,HUAWEI,5258,480mmx356mmx140mm,
Antenna,,RVVS4-65M-R4,999mmx350mmx208mm,
RRU/RRH,Ericsson,,0.4 m,
RRU/RRH,Ericsson,12B2,518 x 470 x 156 mm,
Antenna,Andrew,HBXX6516DS-VTM,2940 x 370 x 22 mm,
Antenna,Andrew,HBX6513DS-VTM,2940 x 370 x 22 mm,
Dish,Huawei,A15S03HAC,1.2 m,
Antenna,Commscope,RVVPX310R,2490 x 296 x 244 mm,
Antenna,Commscope,RVVPX310R,2490x296x244,
Antenna,Huawei,AAU5733,1400x395x175,
Antenna,Commscope,LDX-6515DS-VTM,2073 x 269 x 132mm,
RRU/RRH,Ericsson,01 B2,514x334x176mm,
Antenna,Andrew,HBX-6516DS-VTM w/Mount Pipe,1306x168x84mm,
Dish,HUAWEI,,1.80m,
RRU/RRH,Ericsson,01 B2,514X334X176,
Antenna,,BXA-1887411,1293x305x1165mm,
Antenna,,TBD,TBD,
Antenna,Amphenol,BXA-1887411,1293x305x165,
Antenna,,,"Up to 84"" x 14"" x 7""",
Dish,,,Up to 4 ft or up to 3 ft,
RRU/RRH,Ericsson,221940,365 x 286 x 470 mm,
RRU/RRH,Huawei,5508,480x356x150,
Antenna,Huawei,ADU4518R1v06,1999x429x196,
Dish,Huawei,A15D09MDD-3NX,0.9,
RRU/RRH,Ericsson,RRU 11 B2,636 x 383x 169 mm,
Dish,Ericsson,Minilink,27.74 m,
Dish,HUAWEI,VHLP2,0.60m,
Dish,Huawei,A07S18HAC,1.8,
Antenna,Andrew,HBX-6516DS-VTM,1365 X 269 X 86 MM,
RRU/RRH,Ericsson,RRU 11 B2,636 x 3830 x 169 mm,
RRU/RRH,Huawei,B08-0900,430x300x100,
RRU/RRH,Ericsson,B08-0900,430 X 300 X 120 MM,
RRU/RRH,Ericsson,MRRU BXX-1900,480 x 270 x 140 mm,
Antenna,Amphenol,A194518R1V01,1365 x 299 x 109 mm,
Antenna,Commscope,LDX-6515DS-VTM,2070 x 269 x 132 mm,
Antenna,,BXA-1887411,1293mm x 305mm x 165mm,
RRU/RRH,Ericsson,5904,518mm x 470mm x 156mm,
RRU/RRH,HUAWEI,5909,400mm x 300mm x 120mm,
Antenna,Huawei,AMB4520R9V06,1468mm x 349mm x 166 mm,
Dish,Ericsson,Ericsson Minilink,0.3,
Antenna,Huawei,AMB4520R9V06,1468x349x166,
Dish,HUAWEI,VHLP1-23-2WH,0.60m,
Antenna,Andrew,VV-33C-R4,2499x395x228 mm,
Antenna,Andrew,RVV-65D-R3-KT,2688x350x208 mm,
Antenna,Commscope,VV-33C-R4,2499x395x228,
Antenna,Huawei,AMB4519R6V06,2095x399x196,
Antenna,Huawei,ADU4518R1V06,1365x2695x86,
Antenna,HUAWEI,ADU4518R6V06,1999 x 349 x 166 mm,
Antenna,HUAWEI,ATD4516R8V07,1100 x 259 x 135 mm,
RRU/RRH,HUAWEI,5258,480 x 356 x 140mm,
Antenna,Huawei,ATR4518R6V06,1999x349x196,
RRU/RRH,Ericsson,,0.4,
Dish,Ericsson,PD,1.2 m,
Antenna,Huawei,AMB4519R6V06,2685x359x178,
Antenna,Huawei,ADU4518R1v06,1365mmx259mmx86mm,
Antenna,Huawei,AMB4519R5V06,2685mmx359mmx178mm,
Antenna,HUAWEI,AAU5339W,669mmx395mmx160mm,
Antenna,Huawei,ATD4516R8V08,1100mm x 259mm x 135mm,
Antenna,Huawei,AMB4519R9V06,2099mm x 1996mm x 399 mm,
Antenna,Huawei,AMB4519R6V06,2099x399x1996,
RRU/RRH,Ericsson/ RRU,,0.4 m,
RRU/RRH,Huawei,3804,485 x 285 x 1700 mm,
Dish,Huawei,Minilink,0.60m,
Dish,Commscope,VHLP2-15-CR48,0.6,
Antenna,N/D,ADU451819V01,2940 x 370 x 22 mm,
RRU/RRH,HUAWEI,3971,400x300x120mm,
Antenna,HUAWEI,ATR4518R6v06,1999mmx349mmx169mm,
Antenna,HUAWEI,HBX6516DS-VTM,1306mmx166mmx83mm,
Dish,Andrew,VHLP1-23-2WH,0.6m,
Antenna,Commscope,HBX-6513DS-VTM,695 x 166 x 83mm,
Dish,Ericsson,Minilink,.60m,
Antenna,Moyano,MY-DTBSS-0819651719,2.94 x 0.37 c 0.22 m,
RRU/RRH,Ericsson,RRU,0.4 m,
Dish,HUAWEI,A15S09HAC,0.90m,
RRU/RRH,Ericsson,RRU,0.4m,
Antenna,Moyano,MY-DTBSS-0819651719,2.94m x 0.37m x 0.22m,
Dish,Ericsson,PD,1.2m,
Antenna,Huawei,MS-MBA-3-H4,900x620x600,
Dish,TBD,,1.20 m,
Antenna,Huawei,ADU4518R6V06,1999mm x 349mm x 166mm,
Antenna,,AMB4519R6V06,2099mm x 399mm x 196mm,
Antenna,,MS-MBA-3-H4,900mm x 620mm x 600mm,
Antenna,Huawei,ADU4516R1V06,1365mm x 269mm x 86mm,
Dish,Huawei,A15S06HAC,0.90m,
Antenna,Huawei,ADU4518R1v01,1365x299x109mm,
Antenna,Huawei,ATD4516R8V07,1100x259x135mm,
Antenna,Huawei,AMB4519R5V06,2685x359x178mm,
Antenna,Huawei,ADU4518R1V01,1365x299x109,
Antenna,Huawei,ADU4518R1V06,1360x269x89,
RRU/RRH,Ericsson,RRU,636 x 383x 169 mm,
Antenna,Comba,ODV2-065R18K-G,2.94m x 0.37m x 0.22m,
Dish,Ericsson,,1.2m,
RRU/RRH,,5409w,400x300x150,
Antenna,Commscope,RVVS4 65M R4,999mm x 350mm x 208 mm,
Dish,Huawei,15S03HAC,0.30 m,
RRU/RRH,,5258,400x300x100,
RRU/RRH,HUAWEI,5258,400mm x 300mm x 100mm,
Antenna,Huawei,AAU5613,795x395x220,
Dish,,A15S03HAC,0.3,
RRU/RRH,Ericsson,RRU,520mm x 470mm x 160mm,
Antenna,Huawei,AAU5339W,699x 395x160,
RRU/RRH,PD,PD,520mm x 470mm x 160mm,
RRU/RRH,Huawei,3959,400x300x100,
RRU/RRH,HUAWEI,3959,400mm x 300mm x 100mm,
Antenna,HUAWEI,AAU5726,1080mm x 670mm x 220mm,
Antenna,PD,PD,1365mm x 269mm x 86mm,
Antenna,Huawei,AMB4519R6V06,2555x399x196,
RRU/RRH,Ericsson,RRU,636 x 383 x 169 mm,
RRU/RRH,Huawei,PCB05 / PCB05-B,1.30 x 0.90 x 2.10 m,
Antenna,Comba,0DV2-065R18K-G,2.94m x 0.37m x 0.22m,
RRU/RRH,PD,,636mm x 383mm x 169 mm,
Antenna,Comba,ODV2-065R18K-G,2.94 x 0.37 m x 0.22 m,
Antenna,Comba,ODV2-065R18K-G,2.94 x 0.37 x 0.22 m,
Antenna,Commscope,N45C-1XB1,2437 x 457 x 178 mm,
Antenna,Commscope,N45C-1X-B1,2437x457x178,
RRU/RRH,Huawei,3942,400X300X170,
RRU/RRH,HUAWEI,3942,400 x 300 x 170mm,
Antenna,HUAWEI,AMB4519R3v06,2930 x 550 x 300 mm,
Antenna,HUAWEI,ATR4518R6v06,1880 x 425 x 225,
Antenna,TBD,TBD,1880 x 425 x 225 mm,
Antenna,Comba,0DV2-065R18K-G,2.94 x 0.37 x 0.22 m,
RRU/RRH,RRU,Ericsson,636 x 383 x 169 mm,
RRU/RRH,Huawei,3278,480x356x140,
RRU/RRH,Ericsson,,636 x 383 x 169 mm,
RRU/RRH,Huawei,5517T,520x480x140,
RRU/RRH,Huawei,3952,485 x 380 x 170 mm,
RRU/RRH,Huawei,5304W,400x300x100,
RRU/RRH,Ericsson,B2,640 x 380 x 160 mm,
Antenna,Comba,ODV2-065R18K-G,2.940 x 370 x 22 m,
Dish,Huawei,N/D,1.2 m,
RRU/RRH,Ericsson,2217,340 x 297 x 105mm,
RRU/RRH,,,610 x 380 x 200 mm,
RRU/RRH,Huawei,3942,400X300X100,
Antenna,,,1954 x 323 x 89 mm,
Antenna,Comba,0DV2065R18KG,1315x265x90,
RRU/RRH,Ericsson,01 B2,636x383x169,
Antenna,Comba,ODV2-065R18K-G,2.94 x0.37 x 0.22 mm,
RRU/RRH,5904W,RRU,400x300x150mm,
RRU/RRH,Huawei,3804,488 x 280 x 155 mm,
RRU/RRH,Huawei,B02-1900,610 x 380 x 200 mm,
RRU/RRH,Huawei,B02-1900,610X380X200,
Antenna,,DXX1710,1954 x 323 x 89 mm,
RRU/RRH,Huawei,5501,400X120X100,
Antenna,Commscope,LDX-6516DS-VTM,2577 x 269 x 132mm,
Antenna,Commscope,2cpx208r-v1,2090 x 504 x 118mm,
Antenna,Commscope,NNVV-65C-R4,2438 x 498 x 197mm,
Antenna,HUAWEI,ATD4516R8,1100 x 259 x 135mm,
Antenna,TBD,TBD,2438 x 498 x 197mm,
RRU/RRH,Huawei,3952,400 x 300 x 150mm,
RRU/RRH,Huawei,3936,400 x 300 x 100mm,
Antenna,Commscope,2VV33CR4V6,2499x395x228,
RRU/RRH,Huawei,5508,400 x 300 x 150mm,
Antenna,Commscope,ATD4516R5V07,1445x299x109,
RRU/RRH,Ericsson,RRU,636 x 383 x 169 m,
Dish,Andrew,VHLP2-18-3WH,0.6m,
RRU/RRH,Ericsson,RRU,636 x 383 x 169mm,
Antenna,HUAWEI,LDX-6516-VTM,2574mm x 269mm x 132mm,
Antenna,HUAWEI,ADU4518r6v06,1365mm x 269mm x 180mm,
RRU/RRH,Ericsson,,636 x 383 x 169mm,
RRU/RRH,Huawei,5508,480x356x140,
RRU/RRH,Huawei,5904W,400x300x150,
Antenna,TBD,TBD,PD,
Dish,Huawei,A15S06HAC,0.90 M,
Antenna,Commscope,LDX 6516DS TVM,2717 x 376 x 267 mm,
Antenna,TBD,TBD,"2,717.00cm x 376.00cm x 267.00mm [1,069.69"" x 148.03"" x 10.51""]",
RRU/RRH,3804,,485 x 285 x 170mm,
RRU/RRH,Huawei,5942,400 x 300 x 100mm,
Antenna,Commscope,LDXX6516DS-VTM,"2,070.00cm x 549.00cm x 165.00mm [814.96"" x 216.14"" x 6.5""]",
Dish,HUAWEI,VPLHP2-7WNC3,0.60m,
RRU/RRH,Huawei,5942,400x300x100,
Antenna,Andrew,LBX-6516DS-VTM,2577 x 269 x 132 mm,
Antenna,Huawei,ADU4518r1v06,1365 x 269 x 86,
Dish,Huawei,A07S12HAC,1.2m,
RRU/RRH,Ericsson,RRU,636 x 383 x169 mm,
RRU/RRH,PD,PD,610 x 380 x 200 mm,
Antenna,PD,PD,1954 x 323 x 89 mm,
Antenna,Huawei,LDX-6515DS,2073x269x132,
RRU/RRH,Huawei,5904W,400x300x140,
RRU/RRH,Ericsson,3702,636mmx383mmx169mm,
Antenna,HUAWEI,ADU4518R1V06,1360mmx260mmx86mm,
Dish,Ericsson,1.2m,45.81kg,
RRU/RRH,Huawei,5512,480x365x140,
RRU/RRH,HUAWEI,3942,400mmx300mmx100mm,
Antenna,HUAWEI,DXX1710,1880mmx425mmx225mm,
RRU/RRH,Huawei,5258,400 x 356 14 mm,
Antenna,Andrew,NNVV65C,2438 x 498 x 197 mm,
Antenna,Andrew,LNX-6515DS-VTM,2453 x 301 x 180 mm,
Antenna,Andrew`,ATD4516R8,1100 x 259 x 135 mm,
RRU/RRH,Huawei,3036,470x300x120,
Dish,Huawei,VHLP2-18-3WH,0.6m,
Antenna,Commscope,NNVV65C,2438x498x197,
RRU/RRH,Ericsson,RRU,636x383x169mm,
Antenna,Comba,ODV2-065R18K-G,2.94mm x 0.37m x 0.22m,
RRU/RRH,Huawei,5517,520x480x140,
RRU/RRH,Ericsson,63.6 x 383x 169 mm,24 kg,
Antenna,Comba,ODV2-065R18K-G,2.94 x 0.37 x 0.22 mm,
Dish,Ceragon,Am-2-15-CR,0.6,
Antenna,Comba,0DV2-065R18K-G,2.94 x 0.37 x 0.22m,
Antenna,Huawei,ADU4516R6v06,1365x269x86,
Antenna,Commscope,LBX-6516DS-VTM,2717 x 267 x 132 mm,
RRU/RRH,Ericsson,,636 x 383 x 169m,
RRU/RRH,Huawei,5508,480x356 x140,
Dish,Huawei,A7WD09MAC,0.9,
RRU/RRH,,5301,400 x 300 x 100mm,
Antenna,PD,PD,2437x245x178mm,
Antenna,Commscope,N45C-1XB1,2437x245x178mm,
Antenna,Huawei,ADU4516R6v06,1999x426x196,
Antenna,Huawei,ADU4518R1v06,1365x269x86,
Dish,Commscope,VHLP4,1.2,
Antenna,Commscope,NNVV65CR4KT,2090x504x118,
Antenna,Huawei,AMB4520R8v06,1509x399x196,
Dish,Commscope,VHLP1-18-NC3,0.3,
Dish,Andrew,VHLP2-18-3WH,0.6 m,
Dish,Huawei,A7WD06MAC-ENX,0.60 m,
Antenna,Commscope,LBX-6516DS-VTM,2577mm x 269mm x 132 mm,
Antenna,Comba,0DV2-065R18K-G,2.94 x 037 x 0.22 m,
Antenna,TBD,,2133 X 356 X 178 mm,
Dish,TBD,TBD,(2)1.2 or (3)0.9m,
Antenna,Huawei,ADU4518R1V06,1365 x 269 x 88 mm mm,
Antenna,TBD,TBD,TBD,
RRU/RRH,HUAWEI,5508,400mmx300mmx120mm,
Dish,,,0.90m,
Antenna,HUAWEI,ADU4518R1V06,1365mmx269mmx180mm,
Antenna,HUAWEI,ATR4516R6V06,1999mmx349mmx166mm,
Antenna,Huawei,ADU4518R1V06,1365 x 269 x 180 mm,
Antenna,Huawei,ATR4518R6V06,1999 x 349 x 166 mm,
RRU/RRH,Huawei,3958,400 x 300 x 100 mm,
Antenna,PD,ATR 4T,1314 x 155 x 70 mm,
Antenna,Commscope,HBX-6513DS-VTM,695x166x83,
RRU/RRH,Ericsson,2217,340 x 291 x 105mm,
Antenna,Andrew,HBX6516DS-VTM,2940 x 370 x 22 mm,
Dish,Huawei,A15S03HAC,1.2m,
Antenna,Comba,ODV2-065R18K-G,294m x 0.37m x 0.22m,
Dish,Ericsson,TBD,1.20m,
Antenna,HUAWEI,HBX6513,695 x 160 x 83 mm,
Dish,Huawei,RTN,0.60 m,
RRU/RRH,HUAWEI,5904,400x300x170mm,
Antenna,Commscope,NNV-65C-R4,2438mm x 498mm x 197mm,
Antenna,Commscope,LDX6515DS-VTM,2073mm x 269mm x 132mm,
RRU/RRH,Huawei,5903,400mm x 300mm x 200 mm,
Dish,Ericsson,TBD,0.90m,
RRU/RRH,,B02-1900 RRU,610 x 380 x 200 mm,
RRU/RRH,Huawei,3908,240X140X75,
RRU/RRH,HUAWEI,3908,240mmx140mmx75mm,
RRU/RRH,HUAWEI,3953,300mmx150mmx170m,
Antenna,HUAWEI,ADU4518R1,1311mmx323mmx89mm,
Antenna,Commscope,LDX 6516,2577mmx269mmx132mm,
Antenna,Commscope,N45C-1XB1,"2,437.00cm x 457.00cm x 178.00mm [959.45"" x 179.92"" x 7.01""]",
RRU/RRH,Huawei,5508,400 x 320 x 150 mm,
Antenna,Commscope,RVV-65D-R3,"2,688.00cm x 350.00cm x 208.00mm [1,058.27"" x 137.8"" x 8.19""]",
Antenna,Huawei,AMB4518R1v06,1365x269x86,
RRU/RRH,3908,RRU,240x140x75mm,
RRU/RRH,Huawei,3953,300x150x170mm,
Antenna,Huawei,ADU4518R1,1311x323x89mm,
Antenna,Commscope,LDX 6516,2577x269x132mm,
Antenna,Huawei,AQU4518R23V18,1499 x 429 x 196 mm,
Antenna,HUAWEI,LNX-6515DS-A1M,2650mm x 180.5mm x 301mm,
Antenna,Huawei,LNX-6515DS-A1M,2650 x 301 x 180.5 mm,
RRU/RRH,3971,RRU,400mmx300mmx100mm,
RRU/RRH,Huawei,5508,400mmx300mmx150mm,
Antenna,Huawei,ATR4518R6,2020x349x166,
Antenna,Comba,ADV2-065R18K-G,2.94 x 0.37 x 0.22 m,
RRU/RRH,Huawei,3408,400 x 300 x 120 mm,
RRU/RRH,Huawei,3408,400X300X120,
RRU/RRH,Huawei,2600,480x300x120,
RRU/RRH,Ericsson,B02-1900/RRU,610 x 380 x 200 mm,
Antenna,Huawei,DXX1710,1954 x 323 x 89 mm,
Dish,CommScope,VHLP2-15-CR4B,0.6,
Antenna,TBD,TBD,1365x299x109mm,
Dish,HUAWEI,VHLP2-15-CR4B,0.60m,
RRU/RRH,Huawei,3952,450x300x150,
Antenna,Huawei,ATD4516R8,1290x340x205,
RRU/RRH,Huawei,3952,450 x 300 x 150 mm,
Antenna,Katrein,739685,1996x262x116,
Antenna,Kathrein,739865,1996 x 262 x 116 mm,
Antenna,Andrew,ATD4516R8,1290x340x205,
Antenna,Andrew,RVV-65D-R3-KT,2830x460x350,
Antenna,Andrew,LDX-6515DS-VTM,2073x269x132,
Dish,Ericcson,UKY21076/SCI5,0.60m,
Antenna,TBD,TBD,1302mmx155mmx70mm,
Dish,Ericsson,UKY21076/SC15,0.6,
Dish,Kathrein,UKY-220/43SC15,0.6 m,
RRU/RRH,,RRUS 12 B2,520 x 470 x 160 mm,
Dish,,,(2) 1.2 m or (3) 0.9 m,
RRU/RRH,,RRUS 11 B2,640 x 380 x 150 mm,
Dish,Huawei,AM-4-16-CR,1.2 m,
Antenna,Amphenol,BGD3-800TV,1340 x 300 x 90 mm,
Antenna,Rumsa,RR901804DP,1820 x 200 x 60 mm,
Antenna,Huawei,Kathrein 739686,2580x262x116,
Dish,Ericsson,AM-4-15-CR,1.2,
Dish,Ericsson,UKY-220/43-SC15,0.6,
Antenna,EMS,RR901804DP,1820x200x60,
Antenna,RYMSA,BGD3-800TV,1340x300x90,
Antenna,Kathrein,739686,2580 x 262 x 116 mm,
Antenna,EMS,RR651802DP,1422 x 203 x 71 mm,
Dish,Ericsson,"Minilink,",0.6m,
Dish,TBD,TBD,(2) 1.2m or (3) 0.9m,
Dish,Ericsson,UKY21095/SC11,0.6M,
Antenna,Commscope,LDX-6515DS-VTM,2073 x 269 x 132.00mm,
Antenna,Commscope,RVV-65D-R3,2688mm x 350 x 208mm,
Antenna,Huawei,ADU4516,1999x429x196,
Antenna,Huawei,ADU4516,1999 x 429 x 196 mm,
Antenna,Comba,ODV2,1315 x 269 x 90 mm,
Antenna,Moyano,MY-DTNS-196518,1360 x 160 x 80 mm,
RRU/RRH,Ericsson,221920,365 x 286 x 470mm,
Dish,TBD,,(2)1.2m or (3)0.9m,
RRU/RRH,Huawei,AAU5733,995 x 499 x 210 mm,
Antenna,Commscope,AAU5281,860 x 395 x 170 mm,
RRU/RRH,Huawei,AAU5281,860 x 395 x 170 mm,
Antenna,HUAWEI,AAU5733,995 x 499 x 210 mm,
RRU/RRH,Huawei,3804,488x 280 x 155 mm,
Antenna,Commscope,HWXX 6516DS1-VTM,1390x305x118 mm,
Antenna,Commscope,2W-33 C-R4,2499 x 395 x 228 mm,
RRU/RRH,Huawei,AAU5281,860x395x170,
Dish,Ericsson,Mini Link 6352,0.6 m,
Antenna,Huawei,AAU5281,860x395x170,
Antenna,Huawei,2VV-33C-R4,2499x395x228,
RRU/RRH,TBD,TBD,640x383x169mm,
RRU/RRH,Ericsson,RRUS 12B2,636 x 383 x 169 mm,
RRU/RRH,Ericsson,RRUS 11B2,636 x 383 x 169 mm,
Dish,TBD,TBD,(2)1.2m or (3) 0.9m,
Antenna,Andrew,HBX 6513DS-VTM,695 x 166 x 83 mm,
Antenna,Huawei,HBX6516-VTM,1306x166x83,
RRU/RRH,Ericsson,12B2,5184x470x156mm,
Antenna,Andrew,HBX6516-VTM,1306x166x83 mm,
RRU/RRH,,RRUS 12 B2,518 x 470 x 156 mm,
Antenna,Commscope,HBX-6513DS-VTM,1306 x 166 x 83 mm,
RRU/RRH,Ericsson,12 B2,520x470x160mm,
Antenna,Andrew,HBXX-6516DS-VTM,1300x300x160mm,
RRU/RRH,Ericsson,11 B2,640x380x160 mm,
Antenna,Rymsa,RR651802DP,1420x200x70mm,
Antenna,N/D,N/D,N/D,
Dish,Huawei,N/D,0.6m,
Dish,Huawei,N/D,1.2m,
Dish,Huawei,N/D,0.9m,
Dish,Ericsson,Mimilink,1.8m,
Dish,HUAWEI,C11U06RRC,1.2m,
Antenna,Huawei,ATR4516R8V07,1100mm x 259mm x 135 mm,
Antenna,Huawei,AMB4519R5V06,2685mm x 359mm x 178 mm,
Dish,HUAWEI,A15S03HAC,0.60 m,
Dish,Huawei,C11U06RRC,1.2,
Antenna,Huawei,ATR4516R8V07,1100x259x135,
RRU/RRH,TBD,TBD,400 x 300 x 170mm,
RRU/RRH,Huawei,B02-1900,514X334X176,
Dish,Ericsson,0.90m,45.81 kg,
RRU/RRH,,B02-1900,610 X 380 X 200 mm,
RRU/RRH,Huawei,5904W,400x300x 150,
Antenna,Huawei,ATR4518R13V06,1499 x 359 x 178 mm,
RRU/RRH,Huawei,5508,480x355x140,
RRU/RRH,Huawei,RRU3971,400 x 300 x 100 mm,
RRU/RRH,Huawei,RRU5909,400 x 300 x 100 mm,
RRU/RRH,Huawei,RRU3971 / RRU3959,400 mm x 300 mm x 100 mm,
RRU/RRH,Huawei,RRU3971 / RRU3959,400 x 300 x 100 mm,
RRU/RRH,Huawei,"B08-0900, B02-1900","300 x 120 x 100 mm, 400 x 300 x 120 mm",
Antenna,Huawei,ADU4518R1V06,1.36x0.26x0.86,
RRU/RRH,Huawei,5904W,0.40x0.30x0.15,
Antenna,Huawei,ATR4518R13,1499 x 359 x 178 mm,
RRU/RRH,Huawei,5909,0.40x0.30x0.10,
Antenna,Huawei,ATR4618R6V06,1999x349x166,
Antenna,Huawei,C-BXA-171065-8-x-FP-A,2417x30,
Antenna,Amphenol,C-BXA-171065-8-x-FP-A,1760 x 300 mm,
RRU/RRH,Huawei,RRU3942,485 x 380 x 170 mm,
RRU/RRH,Huawei,5508,480x3456x140,
Antenna,Huawei,AQU4518R23V18,1429x429x125,
Antenna,Huawei,ATR4518R13V06,1999 x 349 x 166 mm,
Antenna,Huawei,ADU4514S0v06,1755x265x270,
Antenna,HUAWEI,ADU4518R1V06,136mm0 x 269mm x 86 mm,
RRU/RRH,TBD,,518mm x 470mm x 156mm,
Antenna,HUAWEI,ATR4518R6V06,1365mm x 269mm x 86mm,
Antenna,HUAWEI,AMB4520R9V06,1509mm x 399mm x 196mm,
RRU/RRH,Huawei,AAU5711A,1400 x 395 x 175mm,
Antenna,Commscope,2CPX208R-V3,2229x593x209mm,
Antenna,TBD,TBD,2499x395x228mm,
Antenna,HUAWEI,AAU5711A,1400x395x175mm,
RRU/RRH,TBD,,400mm x 300mm x 150mm,
Antenna,Huawei,ADU4518RV06,1999mm x 349mm x 166 mm,
Antenna,Huawei,AMB4519R6V06,2099mm x 399mm x 196 mm,
Antenna,Huawei,CSGPS-38BH,100x100x200,
