Equipment Category,Manufacturer Name,Model Name,Dimensions,column4
Antenna,Comba,ODV2-065R18K-G,1315 x 265 x 90mm,
Antenna,PD,,2133 x 356 x 178mm,
Dish,,PD,1.2m,
Dish,Huawei,A18S06HAC,0.6,
RRU/RRH,HUAWEI,5904,400x300x150mm,
Dish,HUAWEI,A15S03HAC,0.60m,
Antenna,CommScope,LBX-6515DS-VTM,2069x268x131,
Antenna,CommScope,HBXX-6516DS-VTM,1297x305x166,
RRU/RRH,Huawei,3268,470x300x120,
Antenna,Andrew,LBX-6515DS-VTM,2069 x 268 x 131 mm,
Dish,PD,PD,1.2 m,
Antenna,Andrew,HBXX-6516DS-1-VTM,1390 x 305 x 118 mm,
RRU/RRH,Huawei,RRU5903,420 x 300 x 150 mm,
Antenna,Andrew,HWXX-6516DS1-VTM,1390 x 305 x 118 mm,
RRU/RRH,Huawei,RRU3268,470x 300 x 120 mm,
RRU/RRH,HUAWEI,5909,400mm x 300mm x 100mm,
Antenna,Huawei,AMB4520R9V0,2550mm x 339mm x 196 mm,
Antenna,TBD,TBD,"1,318.00mm x 265.00mm x 90.00mm [51.89"" x 10.43"" x 3.54""]",
RRU/RRH,Huawei,RRU3908,485 x 380 x170 mm,
Antenna,Andrew,LBX-6515DS-VTM,2073 x 269 x 133 mm,
RRU/RRH,Huawei,RRU3942,485 x 380 x170 mm,
Dish,Andrew,VHLP4-18,1.2 m,
Antenna,Commscope,LNX-6515DS-VTM,2574 x 269 x 132 mm,
Dish,Andrew,VHLP-418,1.2 m,
RRU/RRH,Huawei,3942,610x380x200,
Antenna,Ubiquiti,LiteAP,452.30mm x 78.80mm x 54.40mm,
Dish,Ubiquiti,PowerBeam AC Gen2,0.42m,
RRU/RRH,Ericsson,RRU 12 B2,518 x 470 x 156 mm,
Antenna,,,1315 x 265 x 90 mm,
Antenna,,ODV2-065R18K-G,1315 x 265 x 90 mm,
RRU/RRH,Ericsson,RRU 11B2,636 x 383x x 169 mm,
Antenna,Moyano,MY-DBS-196518,1360 x 160 x 80 mm,
Antenna,Huawei,ADU-4518R1V06,1360x260xXD86,
Antenna,Huawei,ADU4516R6V06,1999x4429x196,
Dish,Ericsson,Mini-Link,1.8,
Dish,Ericsson,VHLP2-15-CR4B,0.6,
Dish,Ericsson,Minilink,1.80 m,
Dish,Andrew,VHLP2-15-CR4B,0.6 m,
Dish,Huawei,A15S09HAC,0.90 m *Derecho Original 1.20m,
Antenna,HUAWEI,AMB4520R0V06,2550 x 399 x 196mm,
RRU/RRH,Ericsson,5258,480 x 356 x 140mm,
Antenna,HUAWEI,ATD4516R8V07,1100 x 259 x 135mm,
Dish,Huawei,A15S03HAC,0.30m *Derecho Original 1.20m,
Dish,Huawei,A15S03HAC,0.30m *Derecho Original 0.60m,
Antenna,TBD,TBD,"2,133.00cm x 356.00cm x 178.00mm [839.76"" x 140.16"" x 7.01""]",
Dish,,Mini-Link,0.60m,
Antenna,Huawei,ATD4516R8V07,1100x259x135,
Antenna,Huawei,ADU4518R1V06,1360x260x86,
Dish,Huawei,A1S03HAC,0.3,
Dish,Ericsson,Pasolink,0.6,
Dish,Lucent Alcatel,Minilink,0.3,
RRU/RRH,Ericsson,RRU 12B2,518 x 470 x 156 mm,
Dish,Alcatel,Alcatel,0.3,
RRU/RRH,Ericsson,RRU 11B2,636 x 383 x 169 mm,
Antenna,PD,PD,1315 x 265 x 90mm,
Antenna,Moyano,MY-DBS-196518,1300 X 180 X 85 mm,
RRU/RRH,TBD,,400mm x 300mm x 100mm,
Antenna,Huawei,ATDR4518R6V06,1999mm x 349mm x 166 mm,
Dish,Alcatel,UKY21076/S15,0.60m,
Antenna,TBD,TBD,2133mm x 356mm x 178mm,
Dish,Alcatel,UKY21076/SC15,0.30m Original Right 0.90m,
Dish,Alcatel,UKY21076/SC15,0.90m,
Antenna,Huawei,AMB4519R96V06,2099x399x196,
Dish,Alcatel,Desconocido,0.3,
Dish,Ericksson,UKY21076/SC15,0.6,
Antenna,Comba,ODV2-065R18K-G,1315 x 265x 90 mm,
Dish,Andrew,VHLP2-7W-CR4B,0.6,
Dish,Ericsson,Minilink,1.2m,
